state,month,energySource,powerGenerated
NC,1,Solar Thermal and Photovoltaic,633631
NC,1,Total,12236180
NC,1,Wind,53780
ND,1,Coal,2352836
ND,1,Hydroelectric Conventional,180293
ND,1,Natural Gas,271979
ND,1,Other,10832
ND,1,Total,3978909
ND,1,Wind,1162968
NE,1,Coal,1747496
NE,1,Hydroelectric Conventional,97514
NE,1,Natural Gas,133571
NE,1,Other,608216
NE,1,Solar Thermal and Photovoltaic,3886
NE,1,Total,3437185
NE,1,Wind,846501
NH,1,Coal,28596
NH,1,Hydroelectric Conventional,183285
NH,1,Natural Gas,363819
NH,1,Other,1013434
NH,1,Solar Thermal and Photovoltaic,173
NH,1,Total,1632222
NH,1,Wind,42915
NJ,1,Coal,0
NJ,1,Hydroelectric Conventional,442
NJ,1,Natural Gas,2849840
NJ,1,Other,2679406
NJ,1,Solar Thermal and Photovoltaic,85387
NJ,1,Total,5616911
NJ,1,Wind,1837
NM,1,Coal,940080
NM,1,Hydroelectric Conventional,15850
NM,1,Natural Gas,1175756
NM,1,Other,3540
NM,1,Solar Thermal and Photovoltaic,188210
NM,1,Total,3603080
NM,1,Wind,1279645
NV,1,Coal,241855
NV,1,Hydroelectric Conventional,56972
NV,1,Natural Gas,2462424
NV,1,Other,383750
NV,1,Solar Thermal and Photovoltaic,480816
NV,1,Total,3649295
NV,1,Wind,23477
NY,1,Coal,0
NY,1,Hydroelectric Conventional,2613144
NY,1,Natural Gas,5207358
NY,1,Other,2792002
NY,1,Solar Thermal and Photovoltaic,140703
NY,1,Total,11247816
NY,1,Wind,494609
OH,1,Coal,3721026
OH,1,Hydroelectric Conventional,53710
OH,1,Natural Gas,7668189
OH,1,Other,1789397
OH,1,Solar Thermal and Photovoltaic,88078
OH,1,Total,13613801
OH,1,Wind,293401
OK,1,Coal,936459
OK,1,Hydroelectric Conventional,209492
OK,1,Natural Gas,4530945
OK,1,Other,31966
OK,1,Solar Thermal and Photovoltaic,3873
OK,1,Total,8424306
OK,1,Wind,2711570
OR,1,Hydroelectric Conventional,2441715
OR,1,Natural Gas,2292693
OR,1,Other,101920
OR,1,Solar Thermal and Photovoltaic,73831
OR,1,Total,5560771
OR,1,Wind,650613
PA,1,Coal,2553278
PA,1,Hydroelectric Conventional,329341
PA,1,Natural Gas,11692638
PA,1,Other,6869761
PA,1,Solar Thermal and Photovoltaic,35018
PA,1,Total,21797190
PA,1,Wind,317155
RI,1,Coal,0
RI,1,Hydroelectric Conventional,895
RI,1,Natural Gas,616347
RI,1,Other,26211
RI,1,Solar Thermal and Photovoltaic,25514
RI,1,Total,688843
RI,1,Wind,19876
SC,1,Coal,1630319
SC,1,Hydroelectric Conventional,339131
SC,1,Natural Gas,1749583
SC,1,Other,5220005
SC,1,Solar Thermal and Photovoltaic,158804
SC,1,Total,9097842
SD,1,Coal,209212
SD,1,Hydroelectric Conventional,357473
SD,1,Natural Gas,228693
SD,1,Other,4253
SD,1,Solar Thermal and Photovoltaic,9905
SD,1,Total,1722077
SD,1,Wind,912542
TN,1,Coal,1953880
TN,1,Hydroelectric Conventional,912873
TN,1,Natural Gas,1602195
TN,1,Other,3419486
TN,1,Solar Thermal and Photovoltaic,46621
TN,1,Total,7937426
TN,1,Wind,2371
TX,1,Coal,7058663
TX,1,Hydroelectric Conventional,154176
TX,1,Natural Gas,24650599
TX,1,Other,3860027
TX,1,Solar Thermal and Photovoltaic,1957664
TX,1,Total,47150919
TX,1,Wind,9469790
UT,1,Coal,1070622
